
SPELLS WITH CHANGED TICK COUNTS (87 spells)
=====================================================================================================================================================================
ID         Spell Name                          Old(ticks)  New(ticks)  Old(sec)   New(sec)   Diff(sec)  +Change    ResourceName                            
=====================================================================================================================================================================
28062972   Soluna's Solar Blessing             2           5           10s        15s        +5s        +50.0%     PAL - Soluna's Blessing                 
36862728   Targeted Gust                       3           7           15s        21s        +6s        +40.0%     STC - Targeted Gust                     
258099     Targeted Windstorm                  3           7           15s        21s        +6s        +40.0%     STC - Targeted Windstorm                
337008     Grip of Grief                       1           2           5s         6s         +1s        +20.0%     NONE - Grip of Grief                    
73440540   Ionize                              3           6           15s        18s        +3s        +20.0%     STC - Ionize                            
6769156    Magma Coat                          2           4           10s        12s        +2s        +20.0%     NONE - Magma Coat                       
5595198    Static Invocation                   3           6           15s        18s        +3s        +20.0%     STC - Static Invocation                 
30824901   Stun                                1           2           5s         6s         +1s        +20.0%     GEN - Stun Short                        
8660964    Annihilate                          4           7           20s        21s        +1s        +5.0%      DRU - Annihilate                        
41995980   Arterial Decay                      4           7           20s        21s        +1s        +5.0%      DRU - Arterial Decay                    
15725000   Death's Embrace                     4           7           20s        21s        +1s        +5.0%      DUEL - Deathly Embrace                  
9103236    Death's Embrace II                  4           7           20s        21s        +1s        +5.0%      DUEL - Deathly Embrace II               
34693164   Death's Embrace II (Caster)         4           7           20s        21s        +1s        +5.0%      Death's Embrace II (Caster)             
61800508   Greater Regrowth                    4           7           20s        21s        +1s        +5.0%      DRU - Greater Regrowth (Cast)           
3032400    Greater Regrowth                    4           7           20s        21s        +1s        +5.0%      DRU - Greater Regrowth (Effect)         
42586336   Healing Bloom                       4           7           20s        21s        +1s        +5.0%      DRU - Healing Bloom (Cast)              
12168345   Healing Bloom                       4           7           20s        21s        +1s        +5.0%      DRU - Healing Bloom (Effect)            
1519210    Internal Rot                        4           7           20s        21s        +1s        +5.0%      DRU - Internal Rot                      
9265597    Regrowth                            4           7           20s        21s        +1s        +5.0%      DRU - Regrowth (Cast)                   
7779982    Regrowth                            4           7           20s        21s        +1s        +5.0%      DRU - Regrowth (Effect)                 
8733214    Venom of the Asp                    4           7           20s        21s        +1s        +5.0%      NONE - Venom of the Asp                 
6788096    Blight Shock                        3           5           15s        15s        +0s        +0.0%      None - Blightshock                      
28902287   Dazzle                              3           5           15s        15s        +0s        +0.0%      ARC - Dazzle                            
48091315   Enlightened Path I                  600         1000        3000s      3000s      +0s        +0.0%      NONE - Blessing of XP 1                 
45942378   Enlightened Path II                 600         1000        3000s      3000s      +0s        +0.0%      NONE - Blessing of XP 2                 
13189590   Enlightened Path III                600         1000        3000s      3000s      +0s        +0.0%      NONE - Blessing of XP 3                 
35843310   Enlightened Path IV                 600         1000        3000s      3000s      +0s        +0.0%      NONE - Blessing of XP 4                 
51559354   Focus                               3           5           15s        15s        +0s        +0.0%      ARC - Focus                             
11174852   Glare of Soluna                     3           5           15s        15s        +0s        +0.0%      PAL - Glare of Soluna                   
35732955   Grip of Azynthi                     30          50          150s       150s       +0s        +0.0%      None - Grip of Azynthi                  
40924576   Invasive Thoughts                   30          50          150s       150s       +0s        +0.0%      ARC - Invasive Thoughts                 
18174920   Pride                               3           5           15s        15s        +0s        +0.0%      DUEL - Pride                            
11638242   Spectrum                            6           10          30s        30s        +0s        +0.0%      PAL - Spectrum                          
37659720   Sunburst                            3           5           15s        15s        +0s        +0.0%      PAL - Sunburst                          
3818637    Theft of Vigor                      3           5           15s        15s        +0s        +0.0%      PAL - Sap Vitality                      
18285300   Vithean Revenge                     3           5           15s        15s        +0s        +0.0%      DUEL - Vithean Revenge                  
20309875   Hydrated                            100         166         500s       498s       -2s        -0.4%      ALL - Hydrated                          
1735287    Nourished                           100         166         500s       498s       -2s        -0.4%      ALL - Nourished                         
4865624    Call of the Void                    20          33          100s       99s        -1s        -1.0%      ARC - Call of the Void                  
23358166   Intruisive Ideas                    20          33          100s       99s        -1s        -1.0%      ARC - Intrusive Ideas                   
76077019   Blight                              5           8           25s        24s        -1s        -4.0%      NONE - Blight                           
10108096   Burning Chains                      5           8           25s        24s        -1s        -4.0%      ARC - Burning Chains                    
10594621   Cave Lung                           10          16          50s        48s        -2s        -4.0%      None - Cave lung                        
6669884    Coma                                10          16          50s        48s        -2s        -4.0%      ARC - Coma                              
41721290   Funeral Pyre                        5           8           25s        24s        -1s        -4.0%      ARC - Pyre                              
7281576    Hardened Skin                       5           8           25s        24s        -1s        -4.0%      ARC - Hardened Skin                     
8513952    Immolation                          5           8           25s        24s        -1s        -4.0%      ARC - Immolation                        
59622570   Infernis                            5           8           25s        24s        -1s        -4.0%      ARC - Infernis                          
10644536   Lingering Inferno                   5           8           25s        24s        -1s        -4.0%      ARC - Lingering Inferno                 
9867251    Magical Skin                        5           8           25s        24s        -1s        -4.0%      ARC - Magical Skin                      
18271806   Melting Bones                       10          16          50s        48s        -2s        -4.0%      DRU - Melting Bones                     
27967806   Sivakaya's Dismay                   5           8           25s        24s        -1s        -4.0%      NONE - Sivakaya's Dismay                
11671960   Sivakaya's Touch                    5           8           25s        24s        -1s        -4.0%      NONE - Sivakayas Kiss                   
1802112    Toxicity                            10          16          50s        48s        -2s        -4.0%      DRU - Toxicity                          
1292200    Vampiric Touch                      10          16          50s        48s        -2s        -4.0%      DUEL - Vampiric Touch                   
